city,area_sqft,bhk,bathrooms,parking,location_type,property_age,furnishing,price
Pune,1490,5,3,0,Standard,7,Furnished,13370000.0
Jaipur,1696,1,2,1,Premium,8,Furnished,11674000.0
Chennai,2579,2,4,0,Standard,13,Unfurnished,19492500.0
Kolkata,1309,5,4,0,Developing,13,Unfurnished,7033200.0
Delhi,1798,4,4,0,Premium,9,Furnished,36311000.0
Hyderabad,2166,2,1,1,Standard,0,Furnished,16312000.0
Kolkata,587,1,4,0,Developing,3,Furnished,3767600.0
Kolkata,1422,4,4,0,Premium,5,Furnished,12541600.0
Kolkata,813,2,3,1,Developing,11,Semi-Furnished,4452400.0
Mumbai,1294,2,3,0,Developing,0,Semi-Furnished,19583600.0
Mumbai,1601,2,4,1,Standard,4,Semi-Furnished,29818000.0
Chennai,826,1,2,1,Premium,9,Furnished,8653500.0
Jaipur,2031,3,1,0,Developing,17,Unfurnished,7974000.0
Chennai,766,1,2,1,Standard,12,Semi-Furnished,5945000.0
Delhi,2564,3,4,1,Premium,13,Furnished,50998000.0
Delhi,925,3,4,0,Standard,0,Unfurnished,14875000.0
Chennai,1497,1,1,1,Standard,11,Furnished,11627500.0
Ahmedabad,757,1,4,0,Developing,9,Furnished,3980800.0
Mumbai,2455,1,4,1,Developing,17,Furnished,35752000.0
Ahmedabad,1447,1,1,1,Standard,13,Semi-Furnished,8008500.0
Ahmedabad,876,4,4,0,Premium,18,Furnished,7063400.0
Delhi,2048,1,2,1,Standard,7,Semi-Furnished,31170000.0
Bengaluru,944,2,4,0,Premium,0,Unfurnished,15526400.0
Delhi,2943,5,4,1,Standard,2,Furnished,46095000.0
Ahmedabad,2378,5,4,0,Developing,19,Furnished,11413200.0
Hyderabad,821,1,3,0,Premium,16,Furnished,7671100.0
Pune,1319,4,3,0,Standard,6,Unfurnished,11352000.0
Mumbai,2039,1,2,0,Developing,19,Semi-Furnished,29061600.0
Kolkata,2529,5,2,0,Premium,5,Furnished,21176200.0
Jaipur,2726,3,3,1,Standard,12,Semi-Furnished,14330000.0
Chennai,2710,3,2,0,Developing,20,Unfurnished,16060000.0
Pune,1915,2,1,1,Standard,1,Unfurnished,15920000.0
Ahmedabad,1663,2,3,1,Premium,2,Unfurnished,12640450.0
Ahmedabad,1547,1,1,0,Standard,13,Unfurnished,8158500.0
Hyderabad,1463,1,3,0,Premium,15,Furnished,13563300.0
Bengaluru,1987,2,1,0,Standard,9,Unfurnished,23894000.0
Jaipur,1855,3,4,0,Premium,9,Furnished,13107500.0
Jaipur,1230,4,1,0,Standard,2,Unfurnished,6950000.0
Hyderabad,1063,1,3,1,Premium,8,Unfurnished,9923300.0
Hyderabad,1449,2,3,0,Premium,17,Furnished,13535900.0
Bengaluru,2420,1,2,1,Standard,13,Semi-Furnished,29190000.0
Mumbai,1189,1,4,1,Premium,0,Unfurnished,28572600.0
Ahmedabad,2909,3,1,0,Premium,0,Semi-Furnished,21749350.0
Ahmedabad,1934,1,4,1,Standard,19,Unfurnished,10437000.0
Jaipur,1505,3,1,0,Premium,14,Semi-Furnished,10032500.0
Lucknow,956,2,4,0,Standard,7,Unfurnished,4752000.0
Pune,1460,2,3,0,Premium,5,Semi-Furnished,15884000.0
Mumbai,2190,3,1,1,Standard,11,Semi-Furnished,39970000.0
Kolkata,1612,2,4,0,Standard,6,Furnished,10672000.0
Bengaluru,1104,5,2,0,Standard,0,Furnished,14948000.0
Kolkata,1972,5,2,1,Standard,15,Unfurnished,12432000.0
Mumbai,636,4,2,1,Developing,17,Semi-Furnished,9708400.0
Delhi,737,3,2,0,Premium,2,Furnished,15571500.0
Ahmedabad,1399,3,3,0,Premium,15,Furnished,10652850.0
Kolkata,2016,3,1,0,Premium,3,Furnished,16774800.0
Delhi,1917,1,3,0,Developing,18,Unfurnished,22604000.0
Kolkata,2294,5,4,1,Developing,4,Furnished,12861200.0
Jaipur,582,3,2,0,Premium,0,Semi-Furnished,4833000.0
Ahmedabad,1144,5,4,1,Premium,15,Unfurnished,8979600.0
Ahmedabad,2959,3,4,0,Premium,14,Unfurnished,21456850.0
Kolkata,803,4,1,0,Developing,9,Furnished,4804400.0
Hyderabad,1623,2,4,0,Developing,4,Unfurnished,9688800.0
Lucknow,2434,4,1,0,Developing,0,Semi-Furnished,9912400.0
Lucknow,1210,2,1,1,Developing,20,Furnished,4506000.0
Jaipur,936,1,3,1,Premium,6,Semi-Furnished,6684000.0
Kolkata,2453,1,4,0,Standard,2,Furnished,15718000.0
Hyderabad,2848,2,2,0,Premium,3,Unfurnished,26366800.0
Delhi,3000,3,2,0,Premium,1,Unfurnished,59250000.0
Kolkata,1030,1,1,1,Developing,8,Furnished,5494000.0
Mumbai,1829,4,3,1,Premium,15,Unfurnished,43298600.0
Delhi,644,4,4,1,Standard,1,Semi-Furnished,11210000.0
Hyderabad,2575,2,4,0,Developing,20,Furnished,14720000.0
Jaipur,1367,4,4,1,Premium,5,Furnished,10485500.0
Bengaluru,2315,2,2,1,Premium,19,Semi-Furnished,36164000.0
Pune,1242,3,4,0,Premium,14,Unfurnished,13216800.0
Jaipur,678,2,3,0,Standard,8,Semi-Furnished,3940000.0
Chennai,2371,3,1,0,Premium,10,Furnished,23817250.0
Jaipur,2511,1,1,1,Premium,14,Unfurnished,16071500.0
Ahmedabad,1876,1,2,0,Standard,15,Semi-Furnished,10218000.0
Hyderabad,2089,3,3,0,Premium,3,Furnished,20259900.0
Mumbai,1944,2,2,1,Developing,6,Semi-Furnished,28693600.0
Chennai,1689,4,1,1,Developing,8,Unfurnished,10784000.0
Lucknow,1329,4,2,1,Developing,12,Semi-Furnished,5584400.0
Chennai,892,5,4,0,Premium,11,Unfurnished,9547000.0
Ahmedabad,560,2,4,1,Developing,6,Semi-Furnished,3364000.0
Ahmedabad,1618,2,3,1,Developing,7,Semi-Furnished,7869200.0
Delhi,1803,3,3,0,Developing,3,Furnished,22886000.0
Bengaluru,1972,4,2,1,Developing,20,Semi-Furnished,19331200.0
Jaipur,1354,1,3,1,Standard,2,Semi-Furnished,7570000.0
Hyderabad,553,1,2,1,Standard,7,Furnished,4571000.0
Ahmedabad,2402,5,3,0,Standard,3,Semi-Furnished,14611000.0
Jaipur,2971,3,2,1,Developing,9,Furnished,12884000.0
Bengaluru,2667,5,2,0,Developing,8,Unfurnished,26403200.0
Kolkata,1023,5,2,1,Standard,16,Unfurnished,6688000.0
Chennai,2092,3,3,0,Standard,15,Semi-Furnished,16090000.0
Ahmedabad,2886,4,3,1,Developing,5,Unfurnished,13698400.0
Chennai,741,2,3,0,Premium,19,Unfurnished,6974750.0
Ahmedabad,1260,4,1,1,Standard,12,Unfurnished,7380000.0
Chennai,2264,1,1,1,Standard,15,Semi-Furnished,16930000.0
Delhi,2691,3,3,0,Premium,10,Furnished,53374500.0
Lucknow,1557,4,1,0,Standard,12,Unfurnished,7306500.0
Pune,1113,3,4,1,Premium,11,Unfurnished,12175200.0
Hyderabad,1594,2,4,0,Standard,9,Unfurnished,11508000.0
Jaipur,1513,5,3,1,Developing,17,Semi-Furnished,6902000.0
Ahmedabad,1769,3,2,0,Premium,2,Unfurnished,13348350.0
Kolkata,1208,2,2,1,Premium,15,Unfurnished,9422400.0
Jaipur,2598,2,3,1,Premium,0,Semi-Furnished,17987000.0
